slot,id,title,manifest_dimension,manifest_value,matching_digits,closest_generated_token,closest_generated_dimension,closest_generated_value
2,nature-002-electron-volt-hertz-relationship,electron volt-hertz relationship,Hz,241798924342022.0246021539955145737216890446593935688779576348750792246655274719660291854417863084484,9,eV⋮Hz,Hz,241798924253021.037871675332152522293756311222278112850285165391460690236874134705702802316738864714166502350361699822695
4,nature-004-hertz-joule-relationship,hertz-joule relationship,J,6.626070149688512981998281366489811795687383972525123505917064682823851516541722774324931892489021650e-34,98,Hz⋮J,J,0.000000000000000000000000000000000662607014968851298199828136648981179568738397252512350591706468282385151654172277432493189248902164963883604819123336832
5,nature-005-hertz-electron-volt-relationship,hertz-electron volt relationship,eV,4.135667696923858646470547441188839319670216671475239346280673377041157030272913561151887157161806562e-15,10,h/e,eV/Hz,0.00000000000000413566769686229425708237748150566362349892029056783340551049855939015867311151260377224941305376259677494044411426198932
6,nature-006-natural-unit-of-action-in-ev-s,natural unit of action in eV s,eV s,6.582119569867334805760892459502869305867680534884195327223158879486128078590138293813628146346866176e-16,10,ℏ/e,eV*s,0.000000000000000658211956941108971474568851580149735210118481568253439479605595965977945680847048155806190063390234682339415167913569408
7,nature-007-reduced-planck-constant,reduced Planck constant,J s,1.054571817596582779727697601535391396089483245542510322890679098514632327400568436071168991346026065e-34,99,ℏ,J s,0.000000000000000000000000000000000105457181759658277972769760153539139608948324554251032289067909851463232740056843607116899134602606463806410978155952953
8,nature-008-planck-constant,Planck constant,J s,6.626070149688512981998281366489811795687383972525123505917064682823851516541722774324931892489021650e-34,98,Hz⋮J,J,0.000000000000000000000000000000000662607014968851298199828136648981179568738397252512350591706468282385151654172277432493189248902164963883604819123336832
9,nature-009-quantum-of-circulation,quantum of circulation,m^2 s^-1,3.636947551955305013327717792307449465274126549804632413387210145850486479160882868726004796505584189e-4,8,q_c,m^2/s,0.000363694754800778851746725676122219360708072240391273178704918567706766395564914252776483660610926259880511138028849913458
10,nature-010-quantum-of-circulation-times-2,quantum of circulation times 2,m^2 s^-1,7.273895103910610026655435584614898930548253099609264826774420291700972958321765737452009593011168378e-4,7,2q_c,m^2/s,0.000727389509601557703493451352244438721416144480782546357409837135413532791129828505552967321221852519761022276057699826916
11,nature-011-bohr-magneton-in-ev-per-t,Bohr magneton in eV per T,eV T^-1,5.788381801246015085368271917526735375765863505348084464971325887388100725591165004645774108936368618e-5,9,μ_B/e,eV/T,0.0000578838180031388457838017417232231002111069578956415444148254625336250709123205973498513478967237397165656264879836780936
12,nature-012-nuclear-magneton-in-ev-per-t,nuclear magneton in eV per T,eV T^-1,3.152119254515779883016118918303952537388039471964311485629653895907754746889660827847883150508816861e-8,4,μ_N/e,eV/T,0.0000000315245125534845105219251792066121639345677658147127786304960883259567403950994514769001071281881852438469516561882090776
19,nature-019-bohr-magneton-in-hz-per-t,Bohr magneton in Hz per T,Hz T^-1,13996244936.10616154411535011839315027042864207642735531881464726185524286191022499661136136469349143,9,μ_B/h,Hz/T,13996244924.8203322759509016578297028886182776580561804345811212754000668381485080460496883278213893690792439652584998435
20,nature-020-nuclear-magneton-in-mhz-per-t,nuclear magneton in MHz per T,MHz T^-1,7.622593230724867109328906796485812545570364209284816151739134494277068247634893017661438998259666735,8,μ_N/h,MHz/T,7.62259322303543089428900677168941668896447906291705777689003402114497215975007380728352371035852807400427815170736372591
177,nature-177-atomic-unit-of-electric-potential,atomic unit of electric potential,V,27.2113862459608560098512137201353815836045435272065583543999072280585044520329037195448248249982589055302964997815236623577,89,A_e_pot,V,27.2113862459608560098512137201353815836045435272065583543999072280585044520329037195448249982589055302964997815236623577
