token,value,dimension
t_p,5.39125836832313e-44,s
l_p,1.61625918175645e-35,m
q_p,1.87554596713962e-18,C
T_p,1.41678698590795e32,K
m_p,2.17642683817579e-8,kg

second,1,s
meter,1,m
coulomb,1,C
kelvin,1,K
kilogram,1,kg

MHz,1e6,Hz
fm,1.00000000000000e-15,m
MeV,1.60217663422016e-13,J
GeV,1.60217663422016e-10,J

ampere,1,C/2
joule,1,J
tesla,1,T
watt,1,m^2*kg/s^3
farad,1,s^2*C^2/(m^2*kg)
henry,1,m^2*kg/C^2
ohm,1,m^2*kg/s/C^2
volt,1,m^2*kg/(s^2*C)
pascal,1,kg/(s^2*m)


IB,0.999999199973626e-7,-

zhe_1,0.0854245431533304,-
zhe_2,3.66756753485501,-
zhe_3,-1.87649603900417+4.06615262615972j,-
zhe_4,-1.87649603900417-4.06615262615972j,-
zhe_r,4.47826244916751,-
zhe_theta,2.00316562310924,-

G_Gi,1.01494160640965,-
V_fe,2.02988321281930,-
K,0.9159655941772190,-
C_d,0.291560904030818,-
D_d,1.79162281206959,-
omega_1,0.764977018528596+1.3249790627140867j,-
omega_2,1.529954037057192,-
Im(omega_1),1.3249790627140867,-

i^i^i^...,0.438282936727032+0.360592471871385j
i,1j,-
phi_i,0.5+0.866025403784438j,-
G_g,1.15872847301812,-
pi,3.14159265358979,-
P_up,2.29558714939263,-
s,5.24411510858423,-
L,2.622057554292119,-
L_1,1.31102877714605,-
L_2,0.599070117367796,-
C_U,0.847213084793979,-
G_Ga,0.834626841674073,-
W_We,0.47494937998792,-

C_CF,0.697774657964819,-
C_R1,0.998136044598509,-
F_FF,1.22674201072035,-
M,-1.74756459463318,-

e,2.71828182845904,-
γ,0.577215664901532,-
S,0.822825249678847,-
j_01,2.404825557695772,-
C_CFP,1.19967864025773,-
D_Do,0.739085133215160,-
L_LL,0.662743419349181,-

α_F,2.50290787509589,-
δ_F,4.66920160910299,-
P,1.32471795724474,-
S*,3.24697960371714,-
C_Q,0.605443657196732,-
C_QA,2.03816937970215,-
C_HSM,0.353236371854995,-

T_0,2.73150000000000e2,K
p_0,1.00000000000000e5,pascal
p_1,1.01325000000000e5,pascal
E_1,6.09110229711386e-24,J
f_1,5.40000000000000e14,Hz
lambda_peak,4.96511423174427,-
nu_peak,2.82143937212207,-

Re(ipt),0.438282936727032,-
Im(ipt),0.360592471871385,-

Im(rho_1),14.1347251417346,-

