token,value,dimension
t_p,5.3912583683231287513767267127417777637415607811832405922592915574160258255410217677858636951594421584449756380440795476349098e-44,s
l_p,1.6162591817564533513619499619670383404464638390689099472241938293176982918922431972815218237537837798112804657343922211447813e-35,m
q_p,1.8755459671396251645345847494092254388044993989065588271815695480488566876537357277034929736450214951465271736437546956473108e-18,C
T_p,1.4167869859079463296026148040132653473734981792706317376247626091799721045894650906407662751209851716863433381627930379914497e+32,K
m_p,2.1764268381757881245184989320757924235425037995295963369536875540976739004791583229859268345586450088673471866819775813945146e-8,kg
second,1,s
meter,1,m
coulomb,1,C
kelvin,1,K
kilogram,1,kg
MHz,1e6,Hz
fm,1e-15,m
MeV,1.6021766342201666496073107385166104324965350933865717235158998582087540428197166859967082075152444333760645482620204402646585e-13,J
GeV,1.6021766342201666496073107385166104324965350933865717235158998582087540428197166859967082075152444333760645482620204402646585e-10,J
ampere,1,C/s
joule,1,J
tesla,1,T
watt,1,m^2*kg/s^3
farad,1,s^2*C^2/(m^2*kg)
henry,1,m^2*kg/C^2
ohm,1,m^2*kg/s/C^2
volt,1,m^2*kg/(s^2*C)
pascal,1,kg/(s^2*m)
IB,9.9999919997362238639018302767730842209502094809039623080769840105826601487525739269787547116326646311355712257784789066144328e-8,-
zhe_1,0.0854245431533304728292565033938076802100223787556762555314702980132300640000074937893858619407304638404927604079248031834,-
zhe_2,3.66756753485501030944332049253754125783432508982649583799530414186417751962020196054403704136716497029283883245036967615,-
zhe_3,-1.8764960390041703911362884979656744690221737342910860467633872199387037918101047271667114516539477170666657964291472396667+4.0661526261597256579951051573098198403715326166605866549007417951009242549122398050226325268438840553443457602980316494484042j,-
zhe_4,-1.8764960390041703911362884979656744690221737342910860467633872199387037918101047271667114516539477170666657964291472396667-4.0661526261597256579951051573098198403715326166605866549007417951009242549122398050226325268438840553443457602980316494484042j,-
zhe_r,4.4782624491675311647514011744214175786458422710824252123327636475712083604889372980634102312746402809271301168159015260785671,-
